Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,172,0.6606128,0.019384926
GB1,AA,Boosting Ensemble,GREEDY,173,0.6606128,0.019384926
GB1,AA,Boosting Ensemble,GREEDY,174,0.66156554,0.019350834
GB1,AA,Boosting Ensemble,GREEDY,175,0.6625421,0.019245181
GB1,AA,Boosting Ensemble,GREEDY,176,0.66334903,0.019168464
GB1,AA,Boosting Ensemble,GREEDY,177,0.66334903,0.019168464
GB1,AA,Boosting Ensemble,GREEDY,178,0.66334903,0.019168464
GB1,AA,Boosting Ensemble,GREEDY,179,0.6640469,0.019129343
GB1,AA,Boosting Ensemble,GREEDY,180,0.66437364,0.019116562
GB1,AA,Boosting Ensemble,GREEDY,181,0.66437364,0.019116562
GB1,AA,Boosting Ensemble,GREEDY,182,0.6651343,0.019043665
GB1,AA,Boosting Ensemble,GREEDY,183,0.6668917,0.018910917
GB1,AA,Boosting Ensemble,GREEDY,184,0.66771615,0.018830827
GB1,AA,Boosting Ensemble,GREEDY,185,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,186,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,187,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,188,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,189,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,190,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,191,0.67061937,0.019336209
GB1,AA,Boosting Ensemble,GREEDY,192,0.67228687,0.018985726
GB1,AA,Boosting Ensemble,GREEDY,193,0.6873105,0.019844245
GB1,AA,Boosting Ensemble,GREEDY,194,0.69507813,0.020257369
GB1,AA,Boosting Ensemble,GREEDY,195,0.69956607,0.019783972
GB1,AA,Boosting Ensemble,GREEDY,196,0.70629096,0.019755578
GB1,AA,Boosting Ensemble,GREEDY,197,0.7131188,0.01929534
GB1,AA,Boosting Ensemble,GREEDY,198,0.7134,0.0192669
GB1,AA,Boosting Ensemble,GREEDY,199,0.7206867,0.019032411
GB1,AA,Boosting Ensemble,GREEDY,200,0.72182834,0.019114604
GB1,AA,Boosting Ensemble,GREEDY,201,0.72213787,0.01908119
GB1,AA,Boosting Ensemble,GREEDY,202,0.7266635,0.019241737
GB1,AA,Boosting Ensemble,GREEDY,203,0.7292925,0.018863749
GB1,AA,Boosting Ensemble,GREEDY,204,0.7318188,0.018804561
GB1,AA,Boosting Ensemble,GREEDY,205,0.7323875,0.018763756
GB1,AA,Boosting Ensemble,GREEDY,206,0.73840594,0.019381717
GB1,AA,Boosting Ensemble,GREEDY,207,0.7395747,0.019573124
GB1,AA,Boosting Ensemble,GREEDY,208,0.7432897,0.019570278
